start,today,تاريخ النشاط,المحافظة,طبيعة الوصول,المنطقة الإدارية,المنطقة الفرعية,اسم القرية,هل يوجد دفتر عائلة,طبيعة العائلة,تاريخ طبيعة العائلة,بلد العودة,طبيعة السكن,عدد الأفراد في دفتر العائلة,عدد أفراد العائلة الفعلي,عدد الأفراد المعالين,عدد الأفراد المعيلين,هل عنوان السكن هو نفس منطقة التدخل؟,العنوان الحالي - المحافظة,العنوان الحالي - المنطقة,عنوان العائلة الأصلي (إذا كانت نازحة من قريبة أخرى).1,_id,_submission_time,_validation_status,_status,_index
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-04-01,,ملك,4,4,1,3,لا,طرطوس,ريف بانياس,,464218815,2025-04-16,,submitted_via_web,88
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,لا,نازح داخلي,2025-03-01,,أستضافة,4,4,3,1,لا,طرطوس,ريف بانياس,,464219016,2025-04-16,,submitted_via_web,89
2025-04-16,2025-04-16,,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,أجار,4,3,2,1,نعم,,,,464220535,2025-04-16,,submitted_via_web,90
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,ملك,4,4,3,1,نعم,,,,464220686,2025-04-16,,submitted_via_web,91
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,نازح داخلي,2025-03-01,,أستضافة,2,5,5,0,لا,طرطوس,بانياس,,464222059,2025-04-16,,submitted_via_web,92
2025-04-16,2025-04-16,,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,أستضافة,4,3,3,1,لا,طرطوس,ريف بانياس,,464222518,2025-04-16,,submitted_via_web,93
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,لا,مجتمع مضيف,,,أستضافة,1,1,1,0,نعم,,,,464222853,2025-04-16,,submitted_via_web,94
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,أجار,4,4,3,1,نعم,,,,464223077,2025-04-16,,submitted_via_web,95
2025-04-16,2025-04-16,2025-04-16,طرطوس,داخل المركز,,,,نعم,مجتمع مضيف,,,ملك,7,5,1,4,نعم,,,,464223975,2025-04-16,,submitted_via_web,96
2025-04-16,2025-04-16,2025-04-16,طرطوس,فريق جوال,القدموس,فنيتق,فنيتق,نعم,مجتمع مضيف,,,ملك,5,5,4,1,نعم,,,,464224312,2025-04-16,,submitted_via_web,97
